Date,Open,High,Low,Close
2016-08-05,112.593,113.007,112.319,112.84
2016-08-08,113.009,113.753,112.928,113.538
2016-08-09,113.535,113.587,113.036,113.218
2016-08-10,113.216,113.457,112.788,113.16
2016-08-11,113.16,113.698,112.709,113.566
2016-08-12,113.56,114.033,112.747,113.035
2016-08-15,113.075,113.295,112.684,113.259
2016-08-16,113.26,113.283,112.373,113.051
2016-08-17,113.055,113.927,112.829,113.136
2016-08-18,113.134,113.705,112.657,113.456
2016-08-19,113.455,113.876,113.235,113.44
2016-08-22,113.935,113.935,113.415,113.579
2016-08-23,113.572,113.728,113.224,113.297
2016-08-24,113.297,113.571,112.803,113.169
2016-08-25,113.159,113.583,113.104,113.456
2016-08-26,113.457,114.13,113.153,114.008
2016-08-29,114.03,114.692,113.941,113.992
2016-08-30,113.989,114.938,113.859,114.761
2016-08-31,114.761,115.434,114.692,115.328
2016-09-01,115.326,115.822,115.03,115.584
2016-09-02,115.582,116.365,115.516,116.062
2016-09-05,116.082,116.155,115.133,115.299
2016-09-06,115.301,115.683,114.711,114.845
2016-09-07,114.85,114.893,113.821,114.323
2016-09-08,114.326,115.439,114.141,115.343
2016-09-09,115.349,115.949,115.027,115.276
2016-09-12,115.241,115.477,114.25,114.516
2016-09-13,114.525,115.308,113.943,115.022
2016-09-14,115.03,116.085,114.922,115.139
2016-09-15,115.147,115.424,114.646,114.746
2016-09-16,114.746,114.85,113.955,114.125
2016-09-19,114.057,114.294,113.475,113.823
2016-09-20,113.824,114.016,113.389,113.456
2016-09-21,113.458,114.382,112.083,112.396
2016-09-22,112.396,113.481,112.087,112.965
2016-09-23,112.955,113.62,112.887,113.465
2016-09-26,113.432,113.521,112.819,112.87
2016-09-27,112.873,113.576,112.253,112.646
2016-09-28,112.633,113.096,112.466,112.983
2016-09-29,112.979,114.187,112.947,113.429
2016-09-30,113.419,114.114,112.599,113.912
2016-10-03,113.904,114.112,113.635,113.956
2016-10-04,113.951,115.385,113.911,115.286
2016-10-05,115.295,116.256,115.122,116.033
2016-10-06,116.022,116.285,115.731,115.927
2016-10-07,115.921,115.938,115.047,115.248
2016-10-10,115.412,115.733,115.075,115.443
2016-10-11,115.443,115.792,114.039,114.481
2016-10-12,114.469,115.173,114.041,114.746
2016-10-13,114.755,115.144,113.921,114.598
2016-10-14,114.6,115.05,114.221,114.357
2016-10-17,114.462,114.578,114.039,114.281
2016-10-18,114.283,114.681,113.985,114.031
2016-10-19,114.055,114.162,113.134,113.465
2016-10-20,113.465,114.509,113.375,113.584
2016-10-21,113.606,113.842,112.611,112.968
2016-10-24,112.997,113.582,112.839,113.358
2016-10-25,113.358,113.908,113.337,113.477
2016-10-26,113.477,114.2,113.271,113.96
2016-10-27,113.962,114.853,113.707,114.706
2016-10-28,114.69,115.328,114.59,115.016
2016-10-31,114.848,115.268,114.797,115.048
2016-11-01,115.049,115.677,114.821,114.982
2016-11-02,114.984,115.12,114.354,114.694
2016-11-03,114.695,114.769,114.02,114.334
2016-11-04,114.289,114.882,114.14,114.854
2016-11-07,115.128,115.9,115.128,115.427
2016-11-08,115.441,116.02,115.123,115.778
2016-11-09,115.766,115.905,113.675,115.375
2016-11-10,115.392,116.569,114.976,116.252
2016-11-11,116.225,116.486,115.316,115.827
2016-11-14,115.783,116.513,115.554,116.347
2016-11-15,116.348,117.22,116.086,116.941
2016-11-16,116.938,117.484,116.427,116.507
2016-11-17,116.508,117.226,116.263,117.121
2016-11-18,117.115,117.469,116.766,117.413
2016-11-21,117.432,117.999,117.312,117.801
2016-11-22,117.81,118.155,117.396,118.092
2016-11-23,118.091,118.991,117.718,118.69
2016-11-24,118.727,119.789,118.501,119.627
2016-11-25,119.628,120.161,119.319,119.791
2016-11-28,119.64,119.706,118.662,118.687
2016-11-29,118.657,119.978,118.553,119.814
2016-11-30,119.815,121.308,119.464,121.2
2016-12-01,121.2,121.803,120.857,121.704
2016-12-02,121.707,121.889,120.881,121.115
2016-12-05,119.074,123.196,118.737,122.443
2016-12-06,122.443,122.939,121.938,122.211
2016-12-07,122.23,122.594,122.027,122.248
2016-12-08,122.248,123.349,120.917,121.13
2016-12-09,121.129,121.695,121.043,121.686
2016-12-12,121.766,122.934,121.587,122.198
2016-12-13,122.201,122.797,122.143,122.456
2016-12-14,122.463,123.485,122.136,123.427
2016-12-15,123.405,124.098,122.579,123.234
2016-12-16,123.209,123.624,122.838,123.128
2016-12-19,123.144,123.181,121.693,121.795
2016-12-20,121.794,122.801,121.73,122.481
2016-12-21,122.496,122.854,122.06,122.511
2016-12-22,122.501,123.189,122.481,122.668
2016-12-23,122.669,122.775,122.396,122.641
2016-12-27,122.446,123.004,122.433,122.849
2016-12-28,122.838,123.247,121.698,121.966
2016-12-29,121.966,122.372,121.588,122.298
2016-12-30,122.299,123.829,122.201,123.008
2017-01-02,122.911,123.529,122.734,122.749
2017-01-03,122.747,123.332,122.275,122.517
2017-01-04,122.518,123.119,122.479,122.991
2017-01-05,122.989,123.119,122.011,122.396
2017-01-06,122.4,123.439,122.12,123.251
2017-01-09,123.386,123.727,122.344,122.688
2017-01-10,122.695,122.942,122.109,122.292
2017-01-11,122.26,122.619,121.258,122.149
2017-01-12,122.144,122.16,121.198,121.722
2017-01-13,121.758,122.42,121.65,121.855
2017-01-16,121.546,121.68,120.765,120.908
2017-01-17,120.907,121.402,120.545,120.797
2017-01-18,120.813,121.993,120.644,121.81
2017-01-19,121.813,122.751,121.75,122.654
2017-01-20,122.644,122.949,122.277,122.473
2017-01-23,122.442,122.476,121.14,121.25
2017-01-24,121.243,122.219,121.206,122.19
2017-01-25,122.193,122.272,121.63,121.835
2017-01-26,121.834,122.664,121.678,122.334
2017-01-27,122.343,123.313,122.232,123.148
2017-01-30,123.095,123.123,121.445,121.714
2017-01-31,121.711,122.249,121.023,121.648
2017-02-01,121.645,122.504,121.645,121.979
2017-02-02,121.977,122.049,121.213,121.464
2017-02-03,121.454,121.765,121.096,121.474
2017-02-06,121.395,121.503,119.961,120.183
2017-02-07,120.168,120.204,119.545,119.957
2017-02-08,119.957,120.102,119.332,119.625
2017-02-09,119.625,120.79,119.623,120.728
2017-02-10,120.703,121.335,120.227,120.576
2017-02-13,120.823,121.171,120.392,120.549
2017-02-14,120.539,120.998,120.233,120.926
2017-02-15,120.926,121.284,120.713,121.085
2017-02-16,121.076,121.166,120.703,120.851
2017-02-17,120.87,121.1,119.706,119.759
2017-02-20,119.954,120.306,119.776,120.092
2017-02-21,120.092,120.313,119.563,119.793
2017-02-22,119.795,119.878,118.603,119.621
2017-02-23,119.619,119.71,119.043,119.264
2017-02-24,119.25,119.506,118.242,118.384
2017-02-27,118.521,119.462,118.258,119.361
2017-02-28,119.362,119.382,118.672,119.316
2017-03-01,119.315,120.215,119.315,120.043
2017-03-02,120.046,120.491,119.995,120.186
2017-03-03,120.186,121.046,120.02,120.951
2017-03-06,121.063,121.139,120.355,120.577
2017-03-07,120.561,120.723,120.394,120.444
2017-03-08,120.445,121.12,120.021,120.642
2017-03-09,120.638,121.879,120.507,121.736
2017-03-10,121.719,122.83,121.687,122.597
2017-03-13,122.685,122.888,122.147,122.44
2017-03-14,122.439,122.633,121.653,121.68
2017-03-15,121.682,122.058,121.215,121.735
2017-03-16,121.73,122.101,121.141,122.095
